Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",7/22/20,"124,113",2,in,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,-8.52,0.0803,0.234,0,0.269,0.761,150.076,['nz pop']
Khairiyat,"Pritam, Arijit Singh",7/22/20,"121,417",3,in,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20,0.534,0.481,-9.016,0.0412,0.697,0,0.142,0.293,124.914,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Play Date,Melanie Martinez,7/22/20,"114,480",4,in,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,0.68,0.729,-5.077,0.0475,0.612,0,0.224,0.446,123.97,"['alt z', 'dance pop', 'electropop', 'pop']"
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon",7/22/20,"96,935",5,in,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU,0.427,0.396,-7.556,0.0366,0.736,0,0.11,0.306,70.368,"['desi pop', 'filmi', 'modern bollywood']"
Shayad,"Pritam, Arijit Singh",7/23/20,"128,865",1,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",7/23/20,"120,560",2,in,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,-8.52,0.0803,0.234,0,0.269,0.761,150.076,['nz pop']
Khairiyat,"Pritam, Arijit Singh",7/23/20,"117,138",3,in,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20,0.534,0.481,-9.016,0.0412,0.697,0,0.142,0.293,124.914,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Play Date,Melanie Martinez,7/23/20,"110,745",4,in,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,0.68,0.729,-5.077,0.0475,0.612,0,0.224,0.446,123.97,"['alt z', 'dance pop', 'electropop', 'pop']"
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon",7/23/20,"94,856",5,in,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU,0.427,0.396,-7.556,0.0366,0.736,0,0.11,0.306,70.368,"['desi pop', 'filmi', 'modern bollywood']"
Shayad,"Pritam, Arijit Singh",7/24/20,"127,785",1,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",7/24/20,"116,553",2,in,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,-8.52,0.0803,0.234,0,0.269,0.761,150.076,['nz pop']
