Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Toosie Slide,Drake,4/15/20,"535,479",1,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Blinding Lights,The Weeknd,4/15/20,"528,933",2,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Roses - Imanbek Remix,SAINt JHN,4/15/20,"454,239",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Blueberry Faygo,Lil Mosey,4/15/20,"345,839",4,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
death bed (coffee for your head),"Powfu, beabadoobee",4/15/20,"297,368",5,gb,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,"['emo rap', 'sad rap']"
Toosie Slide,Drake,4/16/20,"505,805",1,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Blinding Lights,The Weeknd,4/16/20,"504,853",2,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Roses - Imanbek Remix,SAINt JHN,4/16/20,"436,824",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Blueberry Faygo,Lil Mosey,4/16/20,"342,910",4,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
death bed (coffee for your head),"Powfu, beabadoobee",4/16/20,"285,669",5,gb,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,"['emo rap', 'sad rap']"
Blinding Lights,The Weeknd,4/17/20,"482,714",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Toosie Slide,Drake,4/17/20,"465,647",2,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Roses - Imanbek Remix,SAINt JHN,4/17/20,"407,356",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Blueberry Faygo,Lil Mosey,4/17/20,"322,831",4,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
death bed (coffee for your head),"Powfu, beabadoobee",4/17/20,"275,423",5,gb,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,"['emo rap', 'sad rap']"
Blinding Lights,The Weeknd,4/18/20,"478,345",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Toosie Slide,Drake,4/18/20,"445,425",2,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Roses - Imanbek Remix,SAINt JHN,4/18/20,"390,465",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Blueberry Faygo,Lil Mosey,4/18/20,"309,591",4,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
death bed (coffee for your head),"Powfu, beabadoobee",4/18/20,"270,767",5,gb,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,"['emo rap', 'sad rap']"
Blinding Lights,The Weeknd,4/19/20,"497,034",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Toosie Slide,Drake,4/19/20,"452,542",2,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
