Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Houdini (feat. Swarmz & Tion Wayne),KSI,4/29/20,"315,036",4,gb,https://open.spotify.com/track/3lay6f81Lhy0qp2Uvp4cNJ,0.572,0.519,-8.054,0.243,0.000415,2.34E-05,0.129,0.704,100.453,['uk hip hop']
Blueberry Faygo,Lil Mosey,4/29/20,"280,058",5,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,4/30/20,"382,209",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Toosie Slide,Drake,4/30/20,"350,729",2,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Roses - Imanbek Remix,SAINt JHN,4/30/20,"332,535",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Houdini (feat. Swarmz & Tion Wayne),KSI,4/30/20,"301,602",4,gb,https://open.spotify.com/track/3lay6f81Lhy0qp2Uvp4cNJ,0.572,0.519,-8.054,0.243,0.000415,2.34E-05,0.129,0.704,100.453,['uk hip hop']
Blueberry Faygo,Lil Mosey,4/30/20,"274,136",5,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Toosie Slide,Drake,5/1/20,"569,844",1,gb,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,0.83,0.49,-8.82,0.209,0.289,3.04E-06,0.113,0.845,81.604,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Blinding Lights,The Weeknd,5/1/20,"423,892",2,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Pain 1993 (with Playboi Carti),Drake,5/1/20,"392,331",3,gb,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo,0.825,0.373,-5.532,0.108,0.163,0,0.368,0.12,77.271,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Roses - Imanbek Remix,SAINt JHN,5/1/20,"366,525",4,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Chicago Freestyle (feat. Giveon),Drake,5/1/20,"347,878",5,gb,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,0.735,0.449,-7.507,0.347,0.629,0,0.113,0.0397,122.947,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Toosie Slide,Drake,5/2/20,"490,082",1,gb,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,0.83,0.49,-8.82,0.209,0.289,3.04E-06,0.113,0.845,81.604,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Blinding Lights,The Weeknd,5/2/20,"440,013",2,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Roses - Imanbek Remix,SAINt JHN,5/2/20,"375,446",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Blueberry Faygo,Lil Mosey,5/2/20,"279,244",4,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
death bed (coffee for your head),"Powfu, beabadoobee",5/2/20,"270,163",5,gb,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,"['emo rap', 'sad rap']"
Toosie Slide,Drake,5/3/20,"392,134",1,gb,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,0.83,0.49,-8.82,0.209,0.289,3.04E-06,0.113,0.845,81.604,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
