Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Pain 1993 (with Playboi Carti),Drake,5/3/20,"1,293,204",4,us,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo,0.825,0.373,-5.532,0.108,0.163,0,0.368,0.12,77.271,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Savage Remix (feat. Beyoncé),Megan Thee Stallion,5/3/20,"1,204,820",5,us,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,0.822,0.743,-4.772,0.28,0.016,0,0.127,0.636,84.459,"['houston rap', 'pop', 'pop rap', 'trap queen']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",5/4/20,"1,746,796",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Toosie Slide,Drake,5/4/20,"1,486,016",2,us,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,0.83,0.49,-8.82,0.209,0.289,3.04E-06,0.113,0.845,81.604,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
ROCKSTAR (feat. Roddy Ricch),DaBaby,5/4/20,"1,360,122",3,us,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,89.977,"['north carolina hip hop', 'rap']"
Blueberry Faygo,Lil Mosey,5/4/20,"1,174,476",4,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,5/4/20,"1,147,150",5,us,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",5/5/20,"1,741,102",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Toosie Slide,Drake,5/5/20,"1,443,001",2,us,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,0.83,0.49,-8.82,0.209,0.289,3.04E-06,0.113,0.845,81.604,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
ROCKSTAR (feat. Roddy Ricch),DaBaby,5/5/20,"1,396,837",3,us,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,89.977,"['north carolina hip hop', 'rap']"
Blueberry Faygo,Lil Mosey,5/5/20,"1,168,947",4,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,5/5/20,"1,140,073",5,us,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",5/6/20,"1,612,458",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
ROCKSTAR (feat. Roddy Ricch),DaBaby,5/6/20,"1,383,947",2,us,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,89.977,"['north carolina hip hop', 'rap']"
Toosie Slide,Drake,5/6/20,"1,358,753",3,us,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,0.83,0.49,-8.82,0.209,0.289,3.04E-06,0.113,0.845,81.604,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Blueberry Faygo,Lil Mosey,5/6/20,"1,139,695",4,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,5/6/20,"1,112,587",5,us,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",5/7/20,"1,548,018",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
ROCKSTAR (feat. Roddy Ricch),DaBaby,5/7/20,"1,473,367",2,us,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,89.977,"['north carolina hip hop', 'rap']"
Toosie Slide,Drake,5/7/20,"1,334,061",3,us,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,0.83,0.49,-8.82,0.209,0.289,3.04E-06,0.113,0.845,81.604,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Blueberry Faygo,Lil Mosey,5/7/20,"1,134,349",4,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
